userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean,title_clean_language,title_clean_language_confidence,title_clean_translated,review_clean_language,review_clean_language_confidence,review_clean_translated
AE12789,☑️,5,2025-08-17 13:57:31+00:00,526.0.0,False,0,✅,,us,☑️,✅,,,☑️ ✅,,4,2,True,True,AE12789,unknown,0.0,☑️,unknown,0.0,✅
tripunia,Newest update makes comments look ugly,1,2025-08-17 13:17:29+00:00,526.0.0,False,0,"I don’t know why meta is trying to make the comments look like TikTok, but stop. It’s ugly. Would give zero stars. Give me my comment bubbles back and put the like and reply buttons back where they were. Ugliest update in a while.",,us,Newest update makes comments look ugly,"I don’t know why meta is trying to make the comments look like TikTok, but stop. It’s ugly. Would give zero stars. Give me my comment bubbles back and put the like and reply buttons back where they were. Ugliest update in a while.",newest software update makes comments look ugly,"i don t know why meta is trying to make the comments look like tiktok, but stop. it s ugly. would give zero stars. give me my comment bubbles back and put the like and reply buttons back where they were. ugliest software update in a while.","Newest update makes comments look ugly I don’t know why meta is trying to make the comments look like TikTok, but stop. It’s ugly. Would give zero stars. Give me my comment bubbles back and put the like and reply buttons back where they were. Ugliest update in a while.","newest software update makes comments look ugly i don t know why meta is trying to make the comments look like tiktok, but stop. it s ugly. would give zero stars. give me my comment bubbles back and put the like and reply buttons back where they were. ugliest software update in a while.",269,50,True,True,tripunia,en,1.0,Newest update makes comments look ugly,en,1.0,"I don’t know why meta is trying to make the comments look like TikTok, but stop. It’s ugly. Would give zero stars. Give me my comment bubbles back and put the like and reply buttons back where they were. Ugliest update in a while."
"Feland, Trigg",1 star,1,2025-08-17 13:16:29+00:00,526.0.0,False,0,I haven’t even been on the actual app I signed up for everything and it says you have submitted a appeal like I haven’t even been able to do anything I’m just trying to get to Facebook marketplace so can you please help fix this for me,,us,1 star,I haven’t even been on the actual app I signed up for everything and it says you have submitted a appeal like I haven’t even been able to do anything I’m just trying to get to Facebook marketplace so can you please help fix this for me,1 star,i haven t even been on the actual application i signed up for everything and it says you have submitted a appeal like i haven t even been able to do anything i m just trying to get to facebook marketplace so can you please help repair this for me,1 star I haven’t even been on the actual app I signed up for everything and it says you have submitted a appeal like I haven’t even been able to do anything I’m just trying to get to Facebook marketplace so can you please help fix this for me,1 star i haven t even been on the actual application i signed up for everything and it says you have submitted a appeal like i haven t even been able to do anything i m just trying to get to facebook marketplace so can you please help repair this for me,242,49,True,True,"Feland, Trigg",sv,0.8,1 stjärna,en,1.0,I haven’t even been on the actual app I signed up for everything and it says you have submitted a appeal like I haven’t even been able to do anything I’m just trying to get to Facebook marketplace so can you please help fix this for me
D suson,Family,5,2025-08-17 13:15:12+00:00,526.0.0,False,0,"This Facebook has enabled many families to share and relocate their children,friends,family, business 
and other entities.",,us,Family,"This Facebook has enabled many families to share and relocate their children, friends, family, business and other entities.",family,"this facebook has enabled many families to share and relocate their children, friends, family, business and other entities.","Family This Facebook has enabled many families to share and relocate their children, friends, family, business and other entities.","family this facebook has enabled many families to share and relocate their children, friends, family, business and other entities.",130,19,True,True,D suson,en,0.8500000000000001,Family,en,1.0,"This Facebook has enabled many families to share and relocate their children, friends, family, business and other entities."
Near accurate joint venture,Wonderful FFFF’s,5,2025-08-17 13:13:21+00:00,526.0.0,False,0,"One it’s so blurish, second it doesn’t ring up, and third LLL UP IN BIG RED PRINT hour for yachting or sailing",,us,Wonderful FFFF’s,"One it’s so blurish, second it doesn’t ring up, and third LLL UP IN BIG RED PRINT hour for yachting or sailing",wonderful ffff s,"one it s so blurish, second it doesn t ring up, and third lll up in big red print hour for yachting or sailing","Wonderful FFFF’s One it’s so blurish, second it doesn’t ring up, and third LLL UP IN BIG RED PRINT hour for yachting or sailing","wonderful ffff s one it s so blurish, second it doesn t ring up, and third lll up in big red print hour for yachting or sailing",127,24,True,True,Near accurate joint venture,de,0.8500000000000001,Wunderbare FFFF’s,en,1.0,"One it’s so blurish, second it doesn’t ring up, and third LLL UP IN BIG RED PRINT hour for yachting or sailing"
RobertofPisa,Feed,2,2025-08-17 13:04:38+00:00,526.0.0,False,0,"My feed has turned from friends posts and occasional posts from what I’m following, but now it’s turned into a commercial free for all with too many posts that I don’t want to see, and far too many AI content postings.",,us,Feed,"My feed has turned from friends posts and occasional posts from what I’m following, but now it’s turned into a commercial free for all with too many posts that I don’t want to see, and far too many AI content postings.",feed,"my feed has turned from friends posts and occasional posts from what i m following, but now it s turned into a commercial free for all with too many posts that i don t want to see, and far too many ai content postings.","Feed My feed has turned from friends posts and occasional posts from what I’m following, but now it’s turned into a commercial free for all with too many posts that I don’t want to see, and far too many AI content postings.","feed my feed has turned from friends posts and occasional posts from what i m following, but now it s turned into a commercial free for all with too many posts that i don t want to see, and far too many ai content postings.",223,42,True,True,RobertofPisa,unknown,0.0,Feed,en,1.0,"My feed has turned from friends posts and occasional posts from what I’m following, but now it’s turned into a commercial free for all with too many posts that I don’t want to see, and far too many AI content postings."
gor.nik,"Hello, I’m having an issue with Facebook Marketplace",1,2025-08-17 13:03:51+00:00,526.0.0,False,0,"Hello, I’m having an issue with Facebook Marketplace. I’m trying to post a listing, but it doesn’t work. It always shows an error message saying something went wrong. I’ve already tried many different ways: logging out and back in, using my computer, saving as a draft first and then publishing — but nothing helps. The listing simply doesn’t get published anywhere. Could you please help me? Why is this happening and what should I do to fix it?",,us,"Hello, I’m having an issue with Facebook Marketplace","Hello, I’m having an issue with Facebook Marketplace. I’m trying to post a listing, but it doesn’t work. It always shows an error message saying something went wrong. I’ve already tried many different ways: logging out and back in, using my computer, saving as a draft first and then publishing — but nothing helps. The listing simply doesn’t get published anywhere. Could you please help me? Why is this happening and what should I do to fix it?","hello, i m having an issue with facebook marketplace","hello, i m having an issue with facebook marketplace. i m trying to post a listing, but it doesn t work. it always shows an error message saying something went wrong. i ve already tried many different ways logging out and back in, using my computer, saving as a draft first and then publishing but nothing helps. the listing simply doesn t get published anywhere. could you please help me? why is this happening and what should i do to repair it?","Hello, I’m having an issue with Facebook Marketplace Hello, I’m having an issue with Facebook Marketplace. I’m trying to post a listing, but it doesn’t work. It always shows an error message saying something went wrong. I’ve already tried many different ways: logging out and back in, using my computer, saving as a draft first and then publishing — but nothing helps. The listing simply doesn’t get published anywhere. Could you please help me? Why is this happening and what should I do to fix it?","hello, i m having an issue with facebook marketplace hello, i m having an issue with facebook marketplace. i m trying to post a listing, but it doesn t work. it always shows an error message saying something went wrong. i ve already tried many different ways logging out and back in, using my computer, saving as a draft first and then publishing but nothing helps. the listing simply doesn t get published anywhere. could you please help me? why is this happening and what should i do to repair it?",499,86,True,True,gor. nik,en,1.0,"Hello, I’m having an issue with Facebook Marketplace",en,1.0,"Hello, I’m having an issue with Facebook Marketplace. I’m trying to post a listing, but it doesn’t work. It always shows an error message saying something went wrong. I’ve already tried many different ways: logging out and back in, using my computer, saving as a draft first and then publishing — but nothing helps. The listing simply doesn’t get published anywhere. Could you please help me? Why is this happening and what should I do to fix it?"
Foxxy ice,A fantastic evening,5,2025-08-17 12:43:58+00:00,526.0.0,False,0,In life you must do things to bring happiness.,,us,A fantastic evening,In life you must do things to bring happiness.,a fantastic evening,in life you must do things to bring happiness.,A fantastic evening In life you must do things to bring happiness.,a fantastic evening in life you must do things to bring happiness.,66,12,True,True,Foxxy ice,en,0.8500000000000001,A fantastic evening,en,1.0,In life you must do things to bring happiness.
NotTakenUsername123454321,Marketplace needs help,1,2025-08-17 12:39:20+00:00,526.0.0,False,0,TURN OFF 1 CLICK FOR IS THIS AVAILABLE,,us,Marketplace needs help,TURN OFF 1 CLICK FOR IS THIS AVAILABLE,marketplace needs help,turn off 1 click for is this available,Marketplace needs help TURN OFF 1 CLICK FOR IS THIS AVAILABLE,marketplace needs help turn off 1 click for is this available,61,11,True,True,NotTakenUsername123454321,nl,0.95,Marktplaats heeft hulp nodig,en,1.0,TURN OFF 1 CLICK FOR IS THIS AVAILABLE
Wizzardekiti,Response they are great,5,2025-08-17 12:39:06+00:00,526.0.0,False,0,Th,,us,Response they are great,Th,response they are great,th,Response they are great Th,response they are great th,26,5,True,True,Wizzardekiti,en,1.0,Response they are great,unknown,0.0,Th
mony-jimmy,Grandiosa,5,2025-08-17 12:11:15+00:00,526.0.0,False,0,Tener tantas opciones para subir tus videos y de ser tú mismo es importante.,,us,Grandiosa,Tener tantas opciones para subir tus videos y de ser tú mismo es importante.,grandiosa,tener tantas opciones para subir tus videos y de ser tú mismo es importante.,Grandiosa Tener tantas opciones para subir tus videos y de ser tú mismo es importante.,grandiosa tener tantas opciones para subir tus videos y de ser tú mismo es importante.,86,15,True,True,mony-jimmy,es,0.8500000000000001,Great,es,1.0,Having so many options to upload your videos and to be yourself is important.
corre3672,The end of freedom for Americans,1,2025-08-17 11:53:57+00:00,526.0.0,False,0,"Facebook has become a monster destroying  lives. Facebook published liberal and woke lies but tries to control the opinions of conservatives.

This media attempt needs to be destroyed. Any liberal democrat should be banned from spewing lies 
Trump or a maga supporting individual is scrutinized for every thing they say and do. Freedom of speech was not meant to for the ugly lies coming from their months. To see Facebook being allowed to spew hate is a travesty.

Facebook is an American terrorist.",,us,The end of freedom for Americans,Facebook has become a monster destroying lives. Facebook published liberal and woke lies but tries to control the opinions of conservatives. This media attempt needs to be destroyed. Any liberal democrat should be banned from spewing lies Trump or a maga supporting individual is scrutinized for every thing they say and do. Freedom of speech was not meant to for the ugly lies coming from their months. To see Facebook being allowed to spew hate is a travesty. Facebook is an American terrorist.,the end of freedom for americans,facebook has become a monster destroying lives. facebook published liberal and woke lies but tries to control the opinions of conservatives. this media attempt needs to be destroyed. any liberal democrat should be banned from spewing lies trump or a maga supporting individual is scrutinized for every thing they say and do. freedom of speech was not meant to for the ugly lies coming from their months. to see facebook being allowed to spew hate is a travesty. facebook is an american terrorist.,The end of freedom for Americans Facebook has become a monster destroying lives. Facebook published liberal and woke lies but tries to control the opinions of conservatives. This media attempt needs to be destroyed. Any liberal democrat should be banned from spewing lies Trump or a maga supporting individual is scrutinized for every thing they say and do. Freedom of speech was not meant to for the ugly lies coming from their months. To see Facebook being allowed to spew hate is a travesty. Facebook is an American terrorist.,the end of freedom for americans facebook has become a monster destroying lives. facebook published liberal and woke lies but tries to control the opinions of conservatives. this media attempt needs to be destroyed. any liberal democrat should be banned from spewing lies trump or a maga supporting individual is scrutinized for every thing they say and do. freedom of speech was not meant to for the ugly lies coming from their months. to see facebook being allowed to spew hate is a travesty. facebook is an american terrorist.,529,89,True,True,corre3672,en,1.0,The end of freedom for Americans,en,1.0,Facebook has become a monster destroying lives. Facebook published liberal and woke lies but tries to control the opinions of conservatives. This media attempt needs to be destroyed. Any liberal democrat should be banned from spewing lies Trump or a maga supporting individual is scrutinized for every thing they say and do. Freedom of speech was not meant to for the ugly lies coming from their months. To see Facebook being allowed to spew hate is a travesty. Facebook is an American terrorist.
ALAM MD NAZMUL,Best,5,2025-08-17 11:48:17+00:00,526.0.0,False,0,The only and best social platform in the world,,us,Best,The only and best social platform in the world,best,the only and best social platform in the world,Best The only and best social platform in the world,best the only and best social platform in the world,51,10,True,True,ALAM MD NAZMUL,unknown,0.0,Best,en,1.0,The only and best social platform in the world
L-J-L-J,iPad version is glitchy,3,2025-08-17 11:44:38+00:00,526.0.0,False,0,"The iPad version has had problems for a while now. Like, when you type into the search box, you cannot see what you are typing as you type. This does not happen with the iPhone version. 

Now I’m having problems with notifications. I will get badges telling me how many notifications I have, but when I try to find them, either they don’t load or just one loads. Again, the iPhone version shows the very notifications that won’t show up on the iPad. The problem with notifications only started on 8/14/2025.",,us,iPad version is glitchy,"The iPad version has had problems for a while now. Like, when you type into the search box, you cannot see what you are typing as you type. This does not happen with the iPhone version. Now I’m having problems with notifications. I will get badges telling me how many notifications I have, but when I try to find them, either they don’t load or just one loads. Again, the iPhone version shows the very notifications that won’t show up on the iPad. The problem with notifications only started on 8/14/2025.",ipad version is glitchy,"the ipad version has had problems for a while now. like, when you type into the search box, you cannot see what you are typing as you type. this does not happen with the iphone version. now i m having problems with notifications. i will get badges telling me how many notifications i have, but when i try to find them, either they don t load or just one loads. again, the iphone version shows the very notifications that won t show up on the ipad. the problem with notifications only started on 8 14 2025.","iPad version is glitchy The iPad version has had problems for a while now. Like, when you type into the search box, you cannot see what you are typing as you type. This does not happen with the iPhone version. Now I’m having problems with notifications. I will get badges telling me how many notifications I have, but when I try to find them, either they don’t load or just one loads. Again, the iPhone version shows the very notifications that won’t show up on the iPad. The problem with notifications only started on 8/14/2025.","ipad version is glitchy the ipad version has had problems for a while now. like, when you type into the search box, you cannot see what you are typing as you type. this does not happen with the iphone version. now i m having problems with notifications. i will get badges telling me how many notifications i have, but when i try to find them, either they don t load or just one loads. again, the iphone version shows the very notifications that won t show up on the ipad. the problem with notifications only started on 8 14 2025.",529,95,True,True,L-J-L-J,en,1.0,iPad version is glitchy,en,1.0,"The iPad version has had problems for a while now. Like, when you type into the search box, you cannot see what you are typing as you type. This does not happen with the iPhone version. Now I’m having problems with notifications. I will get badges telling me how many notifications I have, but when I try to find them, either they don’t load or just one loads. Again, the iPhone version shows the very notifications that won’t show up on the iPad. The problem with notifications only started on 8/14/2025."
El Lobo Sólido,No sense,1,2025-08-17 11:30:54+00:00,526.0.0,False,0,"I had Facebook with only my daughter and my 4 grandkids from the Philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? 
How stupid can Facebook get, I will just find a new way to be in contact with my family",,us,No sense,"I had Facebook with only my daughter and my 4 grandkids from the Philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? How stupid can Facebook get, I will just find a new way to be in contact with my family",no sense,"i had facebook with only my daughter and my 4 grandkids from the philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? how stupid can facebook get, i will just find a new way to be in contact with my family","No sense I had Facebook with only my daughter and my 4 grandkids from the Philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? How stupid can Facebook get, I will just find a new way to be in contact with my family","no sense i had facebook with only my daughter and my 4 grandkids from the philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? how stupid can facebook get, i will just find a new way to be in contact with my family",347,72,True,True,El Lobo Sólido,no,0.8,No sense,en,1.0,"I had Facebook with only my daughter and my 4 grandkids from the Philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? How stupid can Facebook get, I will just find a new way to be in contact with my family"
1000slimes,I love facebook,5,2025-08-17 11:29:27+00:00,526.0.0,False,0,Gracias facebook,,us,I love facebook,Gracias facebook,i love facebook,gracias facebook,I love facebook Gracias facebook,i love facebook gracias facebook,32,5,True,True,1000slimes,sk,0.8,Milujem facebook.,en,0.8500000000000001,Gracias facebook
Ho2ter,Languages,2,2025-08-17 11:24:46+00:00,526.0.0,False,0,You need a language selection for the videos. Swiping through I been having to block the person cuz I do not know that language.,,us,Languages,You need a language selection for the videos. Swiping through I been having to block the person cuz I do not know that language.,languages,you need a language selection for the videos. swiping through i been having to block the person cuz i do not know that language.,Languages You need a language selection for the videos. Swiping through I been having to block the person cuz I do not know that language.,languages you need a language selection for the videos. swiping through i been having to block the person cuz i do not know that language.,138,25,True,True,Ho2ter,tl,0.8,Wika,en,1.0,You need a language selection for the videos. Swiping through I been having to block the person cuz I do not know that language.
Sarah Nussle basketball,Facebook,5,2025-08-17 11:13:31+00:00,526.0.0,False,0,Fece book,,us,Facebook,Fece book,facebook,fece book,Facebook Fece book,facebook fece book,18,3,True,True,Sarah Nussle basketball,sk,0.8,Facebook,en,0.8500000000000001,Fece book
TriMist,Great little app,5,2025-08-17 11:10:38+00:00,526.0.0,False,0,"I absolutely love this app as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. What I don’t like about this app are the perverts who thinks this app is a dating site and will hit on any woman even if they’re in a relationship or are married. Oh and the scammers are a nightmare to boot. I’ve noticed that a lot of new changes have been made to the style of Facebook and the way we comment. The new style will take some time getting used too, but overall it isn’t bad. Thanks for building this app. Just limit scammers please.",,us,Great little app,"I absolutely love this app as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. What I don’t like about this app are the perverts who thinks this app is a dating site and will hit on any woman even if they’re in a relationship or are married. Oh and the scammers are a nightmare to boot. I’ve noticed that a lot of new changes have been made to the style of Facebook and the way we comment. The new style will take some time getting used too, but overall it isn’t bad. Thanks for building this app. Just limit scammers please.",great little application,"i absolutely love this application as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. what i don t like about this application are the perverts who thinks this application is a dating site and will hit on any woman even if they re in a relationship or are married. oh and the scammers are a nightmare to boot. i ve noticed that a lot of new changes have been made to the style of facebook and the way we comment. the new style will take some time getting used too, but overall it isn t bad. thanks for building this application just limit scammers please.","Great little app I absolutely love this app as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. What I don’t like about this app are the perverts who thinks this app is a dating site and will hit on any woman even if they’re in a relationship or are married. Oh and the scammers are a nightmare to boot. I’ve noticed that a lot of new changes have been made to the style of Facebook and the way we comment. The new style will take some time getting used too, but overall it isn’t bad. Thanks for building this app. Just limit scammers please.","great little application i absolutely love this application as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. what i don t like about this application are the perverts who thinks this application is a dating site and will hit on any woman even if they re in a relationship or are married. oh and the scammers are a nightmare to boot. i ve noticed that a lot of new changes have been made to the style of facebook and the way we comment. the new style will take some time getting used too, but overall it isn t bad. thanks for building this application just limit scammers please.",614,118,True,True,TriMist,en,0.8500000000000001,Great little app,en,1.0,"I absolutely love this app as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. What I don’t like about this app are the perverts who thinks this app is a dating site and will hit on any woman even if they’re in a relationship or are married. Oh and the scammers are a nightmare to boot. I’ve noticed that a lot of new changes have been made to the style of Facebook and the way we comment. The new style will take some time getting used too, but overall it isn’t bad. Thanks for building this app. Just limit scammers please."
Ginnybranham29,Annoying,3,2025-08-17 11:06:29+00:00,526.0.0,False,0,Tired of all the extra pages that show up when I didn’t want for them!!,,us,Annoying,Tired of all the extra pages that show up when I didn’t want for them! !,annoying,tired of all the extra pages that show up when i didn t want for them! !,Annoying Tired of all the extra pages that show up when I didn’t want for them! !,annoying tired of all the extra pages that show up when i didn t want for them! !,81,17,True,True,Ginnybranham29,tl,0.8,Nakakainis,en,1.0,Tired of all the extra pages that show up when I didn’t want for them! !
sir apeeska,Top,5,2025-08-17 11:05:58+00:00,526.0.0,False,0,Top,,us,Top,Top,top,top,Top Top,top top,7,2,True,True,sir apeeska,unknown,0.0,Top,unknown,0.0,Top
FRANCIS Leonel,Francis,5,2025-08-17 11:04:18+00:00,526.0.0,False,0,Me gusta ese tipo de videos,,us,Francis,Me gusta ese tipo de videos,francis,me gusta ese tipo de videos,Francis Me gusta ese tipo de videos,francis me gusta ese tipo de videos,35,7,True,True,FRANCIS Leonel,es,0.8500000000000001,Francis,es,1.0,I like that type of videos
